Ano;Centro de custo;Regional;Estado;Município;Negócio;Unidade;Nome do projeto;Tecnologia;Temas prioritários;Categoria;Tipo;Carry over?;Possibilidade de corte ?;Conta como iniciativa ?;Valor voluntário VC;Valor incentivado/condicionante;Valor contrapartida/alavancado;Valor total;Cadastro GIS;ID GIS;1° monitoramento;3° Monitoramento;PROCX 
2025;4VP642;SUL;Paraná;Rio Branco do Sul;Cimentos;Unidade Rio Branco do Sul;AGP Saúde;AGP - Saúde;Apoio à Gestão Pública;Desenvolvimento local;Local;Não;Não;1;50.000,00;0,00;107.887,00;157.887,00;OK;700;;;700,00
2025;4VP642;CN;Mato Grosso do Sul;Corumbá;Cimentos;Unidade Corumbá;Plano de Relacionamento  - Corumbá;Plano de Relacionamento com Comunidade;Engajamento comunitário;Relacionamento;Local;Sim;Não;1;23.373,00;0,00;0,00;23.373,00;ok;727;;;727,00
2025;4VP642;CN;Mato Grosso;Cuiabá;Cimentos;Unidade Cuiabá;Plano de Relacionamento  - Cuiabá;Plano de Relacionamento com Comunidade;Engajamento comunitário;Relacionamento;Local;Sim;Não;1;15.000,00;0,00;0,00;15.000,00;ok;728;;;728,00
2025;4VP642;CN;Goiás;Edealina;Cimentos;Unidade Edealina;Plano de Relacionamento  - Edealina;Plano de Relacionamento com Comunidade;Engajamento comunitário;Relacionamento;Local;Sim;Não;1;5.843,25;0,00;0,00;5.843,25;ok;729;;;729,00
2025;4VP642;CN;Mato Grosso;Nobres;Cimentos;Unidade Nobres;Plano de Relacionamento - Nobres;Plano de Relacionamento com Comunidade;Engajamento comunitário;Relacionamento;Local;Sim;Não;1;5.843,25;0,00;0,00;5.843,25;ok;730;;;730,00
2025;4VP642;CN;Distrito Federal;Brasília;Cimentos;Unidade Sobradinho;Conselho Comunitário _ Fercal;Conselho Comunitário;Engajamento comunitário;Desenvolvimento local;Local;Sim;Não;1;63.000,00;0,00;0,00;63.000,00;ok ;731;;;731,00
2025;4VP642;CN;Distrito Federal;Brasília;Cimentos;Unidade Sobradinho;Plano de Relacionamento - Sobradinho ;Plano de Relacionamento com Comunidade;Engajamento comunitário;Relacionamento;Local;Sim;Não;1;7.011,90;0,00;0,00;7.011,90;ok;732;;;732,00
2025;4VP642;CN;Tocantins;Xambioá;Cimentos;Unidade Xambioá;Cadeias Produtivas - Indígenas;Cadeias produtivas;Inclusão produtiva;Relacionamento;Local;Sim;Não;1;498.000,00;0,00;0,00;498.000,00;ok ;733;;;733,00
2025;4VP642;CN;Tocantins;Xambioá;Cimentos;Unidade Xambioá;Conselho Comunitário  _ Xambioá;Conselho Comunitário;Engajamento comunitário;Desenvolvimento local;Local;Sim;Não;1;63.000,00;0,00;0,00;63.000,00;ok ;734;;;734,00
2025;4VP642;CN;Tocantins;Xambioá;Cimentos;Unidade Xambioá;Plano de Relacionamento - Xambioá;Plano de Relacionamento com Comunidade;Engajamento comunitário;Relacionamento;Local;Sim;Não;1;5.843,25;0,00;0,00;5.843,25;ok;735;;;735,00
