Nº Projeto;Nome Projeto;Unidade;Município;Nome do Indicador;Tipo de Agregacao;Meta100;Meta300;Meta500;RESULTADO CICLO;RESULTADO PREVISTO;META CICLO;Meta Ano 
769;Plano de Relacionamento - Limeira;Sudeste;Limeira;Número de voluntários;Último Valor;4;5;6;23;34;500;500
770;Plano de Relacionamento - Cantagalo;Sudeste;Cantagalo;% satisfação em pesquisa;Último Valor;64;80;95;0;80;0;300
770;Plano de Relacionamento - Cantagalo;Sudeste;Cantagalo;Número de ações de relacionamento com o público priorizado na Matriz de Stakeholders (visitas, reuniões, Portas Abertas, etc);Último Valor;1;2;3;0;2;0;300
770;Plano de Relacionamento - Cantagalo;Sudeste;Cantagalo;Número de visitantes/pessoas beneficiádas pela ação;Último Valor;8;10;12;0;30;0;500
770;Plano de Relacionamento - Cantagalo;Sudeste;Cantagalo;Número de voluntários;Último Valor;20;24;29;0;24;0;300
771;Plano de Relacionamento - Salto de Pirapora;Sudeste;Salto de Pirapora;% satisfação em pesquisa;Último Valor;64;80;95;0;0;0;0
771;Plano de Relacionamento - Salto de Pirapora;Sudeste;Salto de Pirapora;Número de ações de relacionamento com o público priorizado na Matriz de Stakeholders (visitas, reuniões, Portas Abertas, etc);Último Valor;1;2;3;0;2;0;300
771;Plano de Relacionamento - Salto de Pirapora;Sudeste;Salto de Pirapora;Número de visitantes/pessoas beneficiádas pela ação;Último Valor;8;10;12;0;0;0;0
771;Plano de Relacionamento - Salto de Pirapora;Sudeste;Salto de Pirapora;Número de voluntários;Último Valor;45;54;64;0;24;0;0
772;Plano de Relacionamento - Santa Cruz;Sudeste;Rio de Janeiro;% satisfação em pesquisa;Último Valor;64;80;95;0;100;0;500
772;Plano de Relacionamento - Santa Cruz;Sudeste;Rio de Janeiro;Número de ações de relacionamento com o público priorizado na Matriz de Stakeholders (visitas, reuniões, Portas Abertas, etc);Último Valor;1;2;3;0;2;0;300
772;Plano de Relacionamento - Santa Cruz;Sudeste;Rio de Janeiro;Número de visitantes/pessoas beneficiádas pela ação;Último Valor;8;10;12;0;22;0;500
772;Plano de Relacionamento - Santa Cruz;Sudeste;Rio de Janeiro;Número de voluntários;Último Valor;5;6;7;0;11;0;500
